,fac_nm,road_addr,jibun_addr,lat,lon,phone_num,capacity,manage_agency,manage_agency_pn,base_date
21,새수원지역아동센터,경기도 수원시 권선구 정조로526번길 24,경기도 수원시 권선구 세류동 536-3,37.2559497,127.0127261,031-293-4607,33,수원시 보육아동과,031-228-2358,2020-09-28
22,샘물지역아동센터,경기도 수원시 권선구 세권로207번길 10-24,경기도 수원시 권선구 권선동 1043-7,37.25494455,127.0284623,031-236-8791,29,수원시 보육아동과,031-228-2358,2020-09-28
23,서둔지역아동센터,경기도 수원시 권선구 서호서로21번길 50-30,경기도 수원시 권선구 서둔동 148-13,37.27041336,126.983246,031-294-6344,49,수원시 보육아동과,031-228-2358,2020-09-28
24,세류지역아동센터,경기도 수원시 권선구 세권로108번길 33-4,경기도 수원시 권선구 세류동 1014,37.25607615,127.0154291,031-232-3019,29,수원시 보육아동과,031-228-2358,2020-09-28
25,수원권선지역아동센터,경기도 수원시 권선구 세지로112번길 25-22,경기도 수원시 권선구 권선동 954-1,37.26224299,127.0212208,031-239-2821,46,수원시 보육아동과,031-228-2358,2020-09-28
26,수원성은지역아동센터,경기도 수원시 권선구 고산로27번길 15,경기도 수원시 권선구 고색동 73-6,37.24872148,126.9809149,031-295-5585,29,수원시 보육아동과,031-228-2358,2020-09-28
27,수원소망지역아동센터,경기도 수원시 장안구 파장로34번길 3,경기도 수원시 장안구 파장동 599-15,37.30513873,126.9969568,031-256-2668,49,수원시 보육아동과,031-228-2358,2020-09-28
28,수원시립서호지역아동센터,경기도 수원시 권선구 서호동로14번길 47,경기도 수원시 권선구 서둔동 41-2,37.26623106,126.9903299,031-278-7937,49,수원시 보육아동과,031-228-2358,2020-09-28
29,수원열린교실고등동 지역아동센터,경기도 수원시 팔달구 동말로 105,경기도 수원시 팔달구 화서동 62-9,37.2789159,127.0058441,031-246-5747,29,수원시 보육아동과,031-228-2358,2020-09-28
30,수원열린교실고색동 지역아동센터,경기도 수원시 권선구 고산로27번길 23,경기도 수원시 권선구 고색동 374-23,37.24862185,126.980511,031-296-7622,29,수원시 보육아동과,031-228-2358,2020-09-28
31,수원열린교실송죽동 지역아동센터,경기도 수원시 장안구 송정로59번길 23-1,경기도 수원시 장안구 송죽동 392-10,37.29689934,127.0042082,031-253-9380,29,수원시 보육아동과,031-228-2358,2020-09-28
32,수원영락행복한홈스쿨 지역아동센터,경기도 수원시 팔달구 팔달문로108번길 25-2,경기도 수원시 팔달구 지동 187-56,37.28039964,127.0286797,031-245-9057,19,수원시 보육아동과,031-228-2358,2020-09-28
33,숲과나무지역아동센터,경기도 수원시 권선구 금곡로 137,경기도 수원시 권선구 금곡동 1072,37.27530097,126.9463092,070-4211-7175,29,수원시 보육아동과,031-228-2358,2020-09-28
34,스카이지역아동센터,경기도 수원시 팔달구 세지로152번길 24,경기도 수원시 팔달구 인계동 1008-23,37.26456956,127.0222202,031-222-6980,49,수원시 보육아동과,031-228-2358,2020-09-28
35,신나는공부방지역아동센터,경기도 수원시 권선구 세권로42번길 8,경기도 수원시 권선구 세류동 443-20,37.2590927,127.0089308,031-224-7940,19,수원시 보육아동과,031-228-2358,2020-09-28
36,아름드리지역아동센터,경기도 수원시 권선구 매실로53번길 20,경기도 수원시 권선구 호매실동 395-12,37.26874809,126.9564816,070-8752-7942,19,수원시 보육아동과,031-228-2358,2020-09-28
37,아트지역아동센터,경기도 수원시 영통구 인계로291번길 9,경기도 수원시 영통구 매탄동 866-22,37.2636417,127.0494896,070-7526-1588,28,수원시 보육아동과,031-228-2358,2020-09-28
38,어울림지역아동센터,경기도 수원시 권선구 세권로43번길 26-1,경기도 수원시 권선구 세류동 349-3,37.26050258,127.0099285,031-239-5270,49,수원시 보육아동과,031-228-2358,2020-09-28
39,오목천지역아동센터,경기도 수원시 권선구 오목천로 15,경기도 수원시 권선구 오목천동 946,37.24042908,126.9639348,031-278-0675,29,수원시 보육아동과,031-228-2358,2020-09-28
40,온누리지역아동센터,경기도 수원시 장안구 만석로 205,경기도 수원시 장안구 송죽동 444-2,37.30476943,127.0008348,031-246-1417,29,수원시 보육아동과,031-228-2358,2020-09-28
41,올고든지역아동센터,경기도 수원시 장안구 조원로58번길 13,경기도 수원시 장안구 조원동 738-34,37.29940986,127.0186581,031-253-7205,25,수원시 보육아동과,031-228-2358,2020-09-28
42,우리지역아동센터,경기도 수원시 장안구 장안로 282,경기도 수원시 장안구 정자동 533-105,37.30691218,126.9907515,031-269-2012,29,수원시 보육아동과,031-228-2358,2020-09-28
43,우만아이캔지역아동센터,경기도 수원시 팔달구 월드컵로345번길 18,경기도 수원시 팔달구 우만동 482-9,37.2881284,127.0311481,031-241-0036,29,수원시 보육아동과,031-228-2358,2020-09-28
44,우만지역아동센터 ,경기도 수원시 팔달구 경수대로642번길 24-4,경기도 수원시 팔달구 우만동 527,37.28329525,127.0303718,031-246-3692,28,수원시 보육아동과,031-228-2358,2020-09-28
45,윤슬청소년지역아동센터,경기도 수원시 팔달구 팔달로 157,경기도 수원시 팔달구 화서동 68-18,37.28236788,127.0057083,031-252-7982,19,수원시 보육아동과,031-228-2358,2020-09-28
46,율전지역아동센터,경기도 수원시 장안구 서부로2181번길 55,경기도 수원시 장안구 율전동 150-7,37.30321136,126.969733,070-8276-0274,49,수원시 보육아동과,031-228-2358,2020-09-28
47,장안지역아동센터,경기도 수원시 장안구 장안로 37,경기도 수원시 장안구 영화동 422-16,37.28823214,127.0049647,031-251-7139,49,수원시 보육아동과,031-228-2358,2020-09-28
48,조원동지역아동센터,경기도 수원시 장안구 경수대로 856,경기도 수원시 장안구 조원동 774-31,37.297376,127.0144124,031-241-0712,49,수원시 보육아동과,031-228-2358,2020-09-28
49,주이레지역아동센터,경기도 수원시 권선구 매실로 25-5,경기도 수원시 권선구 호매실동 403-10,37.26779032,126.9537378,031-298-1715,33,수원시 보육아동과,031-228-2358,2020-09-28
50,참아름지역아동센터,경기도 수원시 권선구 금호로245번길 6,경기도 수원시 권선구 구운동 509-7,37.27605787,126.9770108,031-291-7320,29,수원시 보육아동과,031-228-2358,2020-09-28
51,참좋은지역아동센터,경기도 수원시 권선구 금호로200번길 9-15,경기도 수원시 권선구 탑동 748-11,37.27458894,126.9728975,031-893-9957,28,수원시 보육아동과,031-228-2358,2020-09-28
52,창성사지역아동센터,경기도 수원시 장안구 수성로258번길 83,경기도 수원시 장안구 영화동 423-6,37.28729176,127.0042249,031-254-4443,31,수원시 보육아동과,031-228-2358,2020-09-28
53,청아한지역아동센터,경기도 수원시 영통구 매탄로178번길 8,경기도 수원시 영통구 매탄동 208-56,37.26600442,127.0461339,070-8839-3025,29,수원시 보육아동과,031-228-2358,2020-09-28
54,칠보산청소년방과후 지역아동센터,경기도 수원시 권선구 매실로 47-14,경기도 수원시 권선구 호매실동 392-6,37.26819961,126.9561921,070-7761-1360,29,수원시 보육아동과,031-228-2358,2020-09-28
55,키다리꿈지역아동센터,경기도 수원시 팔달구 팔달로 146-1,경기도 수원시 팔달구 화서동 67-14,37.28136673,127.0056402,031-244-8447,23,수원시 보육아동과,031-228-2358,2020-09-28
56,평강행복한홈스쿨 지역아동센터,경기도 수원시 권선구 매송고색로 703,경기도 수원시 권선구 고색동 56-7,37.25117806,126.9812817,031-291-1719,29,수원시 보육아동과,031-228-2358,2020-09-28
57,평화로운지역아동센터,경기도 수원시 권선구 세지로28번길 42,경기도 수원시 권선구 세류동 1105,37.2538196,127.0178752,031-893-7859,29,수원시 보육아동과,031-228-2358,2020-09-28
58,푸른지역아동센터,경기도 수원시 권선구 구운중로4번길 13,경기도 수원시 권선구 구운동 527-2,37.27570274,126.9742379,031-295-0994,49,수원시 보육아동과,031-228-2358,2020-09-28
59,행궁동지역아동센터,경기도 수원시 팔달구 행궁로 36,경기도 수원시 팔달구 남창동 98-3,37.27923461,127.0149328,031-258-5251,19,수원시 보육아동과,031-228-2358,2020-09-28
60,행복한1318지역아동센터,경기도 수원시 장안구 장안로 47,경기도 수원시 장안구 영화동 403-11,37.28889452,127.0044004,031-241-1319,29,수원시 보육아동과,031-228-2358,2020-09-28
61,화서지역아동센터,경기도 수원시 팔달구 동말로4번길 21,경기도 수원시 팔달구 화서동 184-309,37.2762123,126.9955607,031-242-7562,29,수원시 보육아동과,031-228-2358,2020-09-28
62,희망지역아동센터,경기도 수원시 권선구 고산로6번길 45,경기도 수원시 권선구 고색동 291,37.24839865,126.9847255,031-227-0675,29,수원시 보육아동과,031-228-2358,2020-09-28
