,fac_nm,sido_nm,sgg_nm,fac_type,closed_days,week_start_time,week_end_time,sat_start_time,sat_end_time,holiday_start_time,holiday_end_time,seat,book_cnt,serial_cnt,non_book_cnt,rental_cnt,rental_days,road_addr,manage_agency,phone_num,land_area,bldg_area,homepage_addr,lat,lon,base_date
10,일월도서관,경기도,장안구,공공도서관,"매주 금요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,21:00,0:00,0:00,407,83676,201,0,7,14,경기도 수원시 장안구 일월천로 77(천천동),수원시청,031-228-4890,7961,3905,https://www.suwonlib.go.kr/iw,37.286894,126.977793,2020-12-01
11,광교홍재도서관,경기도,영통구,공공도서관,"매주 월요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,23:00,0:00,0:00,958,111175,152,0,7,14,경기도 수원시 영통구 대학로 88(이의동),수원시청,031-228-4639,3057,9825,https://www.suwonlib.go.kr/gh/,37.302936,127.047441,2020-12-01
12,영통도서관,경기도,영통구,공공도서관,"매주 월요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,23:00,0:00,0:00,825,286935,243,10088,7,14,경기도 수원시 영통구 청명로 151(영통동),수원시청,031-228-4756,9572,4136,https://www.suwonlib.go.kr/yt/,37.257187,127.072059,2020-12-01
13,태장마루도서관,경기도,영통구,공공도서관,"매주 금요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,23:00,0:00,0:00,582,123063,186,0,7,14,경기도 수원시 영통구 태장로 46(망포동),수원시청,031-228-4828,4676,3969,https://www.suwonlib.go.kr/tm/,37.238669,127.051003,2020-12-01
14,광교푸른숲도서관,경기도,영통구,공공도서관,"매주 금요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,21:00,0:00,0:00,632,42818,106,0,7,14,경기도 수원시 영통구 광교호수로 131(하동),수원시청,031-228-3537,20000,4505,https://www.suwonlib.go.kr/gps,37.28095588,127.0668183,2020-12-01
15,매여울도서관,경기도,영통구,공공도서관,"매주 금요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,21:00,0:00,0:00,500,41680,122,0,7,14,경기도 수원시 영통구 효원로 415,수원시청,031-228-3571,2108,3913,https://www.suwonlib.go.kr/my,37.25933036,127.0473578,2020-12-01
16,망포글빛도서관,경기도,영통구,공공도서관,"매주 월요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",7:00,23:00,7:00,21:00,0:00,0:00,480,36500,108,0,7,14,경기도 수원시 영통구 동탄지성로 549-15(망포동),수원시청,031-228-4288,45103,2929,https://www.suwonlib.go.kr/mpgb,37.240703,127.0444662,2020-12-01
17,슬기샘어린이도서관,경기도,장안구,어린이도서관,"매주 월요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",9:00,18:00,9:00,18:00,0:00,0:00,471,141685,101,4252,7,14,경기도 수원시 장안구 송정로 9(송죽동),수원문화재단,031-242-6633,5100,2565,https://www.suwonlib.go.kr/skid,37.297575,126.999111,2020-12-01
18,지혜샘어린이도서관,경기도,권선구,어린이도서관,"매주 월요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",9:00,18:00,9:00,18:00,0:00,0:00,516,145222,111,4070,7,14,경기도 수원시 권선구 동탄원천로 818(권선동),수원문화재단,031-225-5566,4107,2447,https://www.suwonlib.go.kr/jkid,37.248008,127.040081,2020-12-01
19,바른샘어린이도서관,경기도,영통구,어린이도서관,"매주 월요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",9:00,18:00,9:00,18:00,0:00,0:00,500,144548,119,3593,7,14,경기도 수원시 영통구 매봉로 10(매탄동 1213),수원문화재단,031-216-9374,1612,2666,https://www.suwonlib.go.kr/bkid,37.268857,127.052367,2020-12-01
20,희망샘도서관,경기도,권선구,공공도서관,"매주 일요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",9:00,22:00,9:00,20:00,0:00,0:00,137,37090,57,2205,7,14,경기도 수원시 권선구 매송고색로 620(고색동 905-11),수원YMCA,031-291-6943,417,417,https://www.suwonlib.go.kr/swhope,37.247752,126.972927,2020-09-30
21,사랑샘도서관,경기도,영통구,공공도서관,"매주토,일요일, 국가지정공휴일(휴관일의 경우 00:00로 표기함)",9:00,18:00,9:00,0:00,0:00,0:00,63,24553,28,3679,5,14,경기도 수원시 영통구 창룡대로 255(이의동 1088-13),수원중앙복지재단,031-548-5622,7929,542,https://www.suwonlib.go.kr/swlove,37.295548,127.036051,2020-09-30
22,반달어린이도서관,경기도,영통구,어린이도서관,"매주일요일, 국가지정 공휴일(휴관일의 경우 00:00로 표기함)",9:00,18:00,9:00,18:00,0:00,0:00,120,35881,18,0,5,14,경기도 수원시 영통구 반달로 45(영통동 1012-5),조계종수원사,031-201-8350,7193,428,https://www.suwonlib.go.kr/bandal,37.250685,127.077386,2020-09-30
23,한아름도서관,경기도,팔달구,공공도서관,"매주월요일, 국가지정 공휴일",9:00,22:00,9:00,22:00,0:00,0:00,88,46474,35,872,5,14,경기도 수원시 팔달구 권광로 293(인계동 333),수원시청소년육성재단,031-218-0420,555,555,https://www.suwonlib.go.kr/sycc,37.273631,127.035011,2020-09-30
