,fc_nm,fc_type,sido_nm,sgg_nm,sgg_cd,road_addr,jibun_addr,lat,lon,phone_num,week_start_time,week_end_time,sat_start_time,sat_end_time,holiday_start_time,holiday_end_time,delivery_start_time,delivery_end_time,manage_agency,manage_agency_pn,base_date
10,비비큐 수원송죽점,1,경기도,수원시,41115,경기도 수원시 장안구 경수대로994번길 49,경기도 수원시 장안구 송죽동 73,37.30757914,127.0044888,031-254-9282,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,경기도 수원시,031-228-2358,2021-03-11
11,이마트24 수원정자점,1,경기도,수원시,41115,경기도 수원시 장안구 대평로 128,경기도 수원시 장안구 정자동 266-3,37.29893193,126.9913169,02-6916-1500,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
12,광교식당,1,경기도,수원시,41115,경기도 수원시 장안구 창룡대로207번길 7,경기도 수원시 장안구 연무동 245-14,37.29309172,127.0326563,031-252-9990,6:00,21:00,6:00,19:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
13,고기굽는혀누네,1,경기도,수원시,41115,경기도 수원시 장안구 장안로 342,경기도 수원시 장안구 이목동 865,37.31160031,126.9872528,031-268-9203,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,경기도 수원시,031-228-2358,2021-03-11
14,미니스톱 수원조원점,1,경기도,수원시,41115,경기도 수원시 장안구 조원로 91,경기도 수원시 장안구 조원동 743-5,37.30096621,127.0155785,031-245-2380,9:00,20:00,9:00,20:00,9:00,20:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
15,힌카쿠,1,경기도,수원시,41115,경기도 수원시 장안구 서부로2126번길 10,경기도 수원시 장안구 율전동 290-43,37.29794214,126.9720753,031-8002-0070,11:00,24:00:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
16,엄마밥상,1,경기도,수원시,41115,경기도 수원시 장안구 영화로 62,경기도 수원시 장안구 정자동 81-14,37.29244771,127.0072665,031-244-3302,11:30,21:00,11:30,21:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
17,따로닭 조원직영점,1,경기도,수원시,41115,경기도 수원시 장안구 조원로89번길 43-2,경기도 수원시 장안구 조원동 765,37.29943096,127.0139542,031-255-5895,10:30,21:00,10:30,21:00,10:30,21:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
18,백남옥손만두,1,경기도,수원시,41115,경기도 수원시 장안구 정자천로173번길 11-10,경기도 수원시 장안구 정자동 876-5,37.29573936,126.9940649,0507-1375-1890,8:00,23:00,8:00,23:00,8:00,23:00,10:30,11:00,경기도 수원시,031-228-2358,2021-03-11
19,장군족발,1,경기도,수원시,41115,경기도 수원시 장안구 월드컵로428번길 16,경기도 수원시 장안구 연무동 236-37,37.29417062,127.0261609,031-251-3939,16:00,24:00:00,16:00,0:00,16:00,0:00,16:00,0:00,경기도 수원시,031-228-2358,2021-03-11
20,해피홈(피자 치킨),1,경기도,수원시,41115,경기도 수원시 장안구 파장로 58,경기도 수원시 장안구 파장동 590-10,37.30579702,126.9943643,031-207-1959,11:40,0:40,11:40,0:40,11:40,0:40,11:40,0:40,경기도 수원시,031-228-2358,2021-03-11
21,제주안방갈비,1,경기도,수원시,41115,경기도 수원시 장안구 조원로89번길 9-5,경기도 수원시 장안구 조원동 742-20,37.30052568,127.0157002,031-258-3200,10:00,21:00,10:00,21:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
22,육도락 천천동직영점,1,경기도,수원시,41115,경기도 수원시 장안구 천천로 106,경기도 수원시 장안구 천천동 516,37.30096242,126.9836714,0507-1381-7769,10:50,21:00,10:50,21:00,10:50,21:00,3:00,4:00,경기도 수원시,031-228-2358,2021-03-11
23,60판왕뚜껑삼겹살,1,경기도,수원시,41115,경기도 수원시 장안구 상률로46번길 25,경기도 수원시 장안구 율전동 109-16,37.30487925,126.9703546,031-271-5898,15:00,22:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
24,고피자 수원정자점,1,경기도,수원시,41115,경기도 수원시 장안구 대평로 80,경기도 수원시 장안구 정자동 877-4,37.29553643,126.9936207,031-268-5151,10:30,22:00,10:30,22:00,10:30,22:00,11:00,8:50,경기도 수원시,031-228-2358,2021-03-11
25,고인돌 김밥,1,경기도,수원시,41115,경기도 수원시 장안구 송정로 56-1,경기도 수원시 장안구 정자동 35-30,37.2958931,127.0032581,0508-8196-5857,10:30,20:00,10:30,20:00,10:30,20:00,10:30,20:00,경기도 수원시,031-228-2358,2021-03-11
26,육이오밀면&설렁탕,1,경기도,수원시,41115,경기도 수원시 장안구 장안로217번길 14,경기도 수원시 장안구 정자동 383,37.30179547,126.9934422,0507-1435-5432,10:00,0:30,10:00,0:30,10:00,0:30,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
27,세븐일레븐 장안대평로점,1,경기도,수원시,41115,경기도 수원시 장안구 정자로130번길 29,경기도 수원시 장안구 정자동 375-2,37.30189035,126.9919961,031-269-9777,0:00,23:59,0:00,23:59,0:00,23:59,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
28,함지박부페,1,경기도,수원시,41115,경기도 수원시 장안구 창훈로8번길 2,경기도 수원시 장안구 연무동 245-49,37.2930635,127.0310644,031-256-2323,5:00,21:00,0:00,0:00,0:00,0:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
29,맘스터치 파장시장점,1,경기도,수원시,41115,경기도 수원시 장안구 장안로 272-9,경기도 수원시 장안구 정자동 537-2,37.30650147,126.9916491,031-271-6133,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,경기도 수원시,031-228-2358,2021-03-11
30,처갓집양념치킨 율전점,1,경기도,수원시,41115,경기도 수원시 장안구 율전로101번길 43,경기도 수원시 장안구 율전동 360-9,37.29858707,126.9664033,031-295-9282,12:00,1:30,12:00,1:30,12:00,1:30,12:00,1:00,경기도 수원시,031-228-2358,2021-03-11
31,자담치킨 율천점,1,경기도,수원시,41115,경기도 수원시 장안구 일월로76번길 23,경기도 수원시 장안구 천천동 385-19,37.29009589,126.9780142,031-227-0402,15:00,23:30,15:00,23:30,15:00,23:30,15:00,23:30,경기도 수원시,031-228-2358,2021-03-11
32,에이스찹쌀꽈배기,1,경기도,수원시,41115,경기도 수원시 장안구 경수대로1081번길 21,경기도 수원시 장안구 파장동 578,37.30833024,126.9934985,031-268-5110,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,경기도 수원시,031-228-2358,2021-03-11
33,떡뽁이플렉스,1,경기도,수원시,41115,경기도 수원시 장안구 장안로7번길 10,경기도 수원시 장안구 영화동 446-8,37.28615473,127.0064124,031-241-1770,11:00,21:30,11:00,21:30,11:00,21:30,11:00,21:30,경기도 수원시,031-228-2358,2021-03-11
34,토미비비큐하우스,1,경기도,수원시,41115,경기도 수원시 장안구 팔달로 201,경기도 수원시 장안구 영화동 443-8,37.28595459,127.0081164,031-258-7877,13:00,23:00,13:00,23:00,13:00,23:00,13:00,23:00,경기도 수원시,031-228-2358,2021-03-11
35,오성백프로수제돈까스&한식,1,경기도,수원시,41115,경기도 수원시 장안구 송정로76번길 51-2,경기도 수원시 장안구 정자동 67-2,37.29369945,127.0070329,031-243-2901,9:20,20:50,9:20,20:50,0:00,0:00,9:20,20:50,경기도 수원시,031-228-2358,2021-03-11
36,밥은(화),1,경기도,수원시,41115,경기도 수원시 장안구 서부로2106번길 26-6,경기도 수원시 장안구 율전동 433-164,37.29717441,126.971882,031-307-7948,10:30,20:30,10:30,20:30,10:30,20:30,11:00,20:00,경기도 수원시,031-228-2358,2021-03-11
37,자담치킨 영화점,1,경기도,수원시,41115,경기도 수원시 장안구 수성로 334,경기도 수원시 장안구 영화동 449-25,37.2922448,127.0085915,031-242-9979,15:00,23:30,14:00,23:30,14:00,23:30,14:00,23:30,경기도 수원시,031-228-2358,2021-03-11
38,석기정,1,경기도,수원시,41115,경기도 수원시 장안구 만석로19번길 11-7,경기도 수원시 장안구 천천동 528-3,37.29549615,126.9834305,031-269-0990,11:00,21:00,11:00,21:00,11:00,21:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
39,푸라닭수원정자3동점,1,경기도,수원시,41115,경기도 수원시 장안구 덕영대로511번길 29-17,경기도 수원시 장안구 천천동 506-3,37.29975352,126.9797136,031-271-9206,14:00,24:00:00,14:00,24:00:00,14:00,24:00:00,12:30,12:00,경기도 수원시,031-228-2358,2021-03-11
40,교촌치킨 연무1호점,1,경기도,수원시,41115,경기도 수원시 장안구 월드컵로 420-2,경기도 수원시 장안구 연무동 249-13,37.29329647,127.0263969,031-253-9244,12:00,24:00:00,12:00,24:00:00,12:00,24:00:00,12:00,24:00:00,경기도 수원시,031-228-2358,2021-03-11
41,바비큐꼬기도시락,1,경기도,수원시,41115,경기도 수원시 장안구 영화로50번길 28,경기도 수원시 장안구 영화동 350-1,37.29181196,127.0095302,031-255-7729,11:00,24:00:00,11:00,24:00:00,11:00,24:00:00,11:00,24:00:00,경기도 수원시,031-228-2358,2021-03-11
42,홍대장소고기집,1,경기도,수원시,41115,경기도 수원시 장안구 정자로 39,경기도 수원시 장안구 천천동 481-5,37.30085716,126.9811391,031-890-8892,15:00,22:00,15:00,22:00,15:00,22:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
43,지코바 송죽점,1,경기도,수원시,41115,경기도 수원시 장안구 만석로 214,경기도 수원시 장안구 송죽동 446-18,37.30517182,127.001835,031-244-9295,16:00,24:00:00,12:00,24:00:00,12:00,24:00:00,16:00,24:00:00,경기도 수원시,031-228-2358,2021-03-11
44,미락,1,경기도,수원시,41115,경기도 수원시 장안구 팔달로 312-9,경기도 수원시 장안구 영화동 117-11,37.29159443,127.0187105,031-244-8867,11:00,22:00,11:00,22:00,11:00,22:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
45,백채김치찌개 성균관대점,1,경기도,수원시,41115,경기도 수원시 장안구 서부로2105번길 21,경기도 수원시 장안구 율전동 408-6,37.29676069,126.9691519,0507-1376-1912,11:00,24:00:00,11:00,24:00:00,11:00,24:00:00,11:00,24:00:00,경기도 수원시,031-228-2358,2021-03-11
46,코닭치킨,1,경기도,수원시,41115,경기도 수원시 장안구 만석로210번길 77,경기도 수원시 장안구 송죽동 496-24,37.30284659,127.0052487,0507-1418-9983,16:00,24:00:00,16:00,24:00:00,16:00,24:00:00,16:00,24:00:00,경기도 수원시,031-228-2358,2021-03-11
47,지에스25정자스카이점,1,경기도,수원시,41115,경기도 수원시 장안구 장안로 92,경기도 수원시 장안구 정자동 48-8,37.29241196,127.0021515,031-253-3824,0:00,23:59,0:00,23:59,0:00,23:59,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
48,59피자북수원시장점,1,경기도,수원시,41115,경기도 수원시 장안구 장안로 272-9,경기도 수원시 장안구 정자동 537-2,37.30650147,126.9916491,031-271-2559,11:00,22:00,11:00,22:00,11:00,22:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
49,달리는족족,1,경기도,수원시,41115,경기도 수원시 장안구 영화로72번길 7,경기도 수원시 장안구 정자동 68-7,37.29325704,127.0070265,0507-1403-5356,11:00,23:00,11:00,23:00,0:00,0:00,11:00,23:00,경기도 수원시,031-228-2358,2021-03-11
50,양자강,1,경기도,수원시,41115,경기도 수원시 장안구 송정로 176,경기도 수원시 장안구 조원동 770-13,37.2983166,127.0157384,031-293-0182,7:00,23:00,7:00,23:00,7:00,23:00,0:00,0:00,경기도 수원시,031-228-2358,2021-03-11
51,배사장,1,경기도,수원시,41115,경기도 수원시 권선구 권광로109번길 24,경기도 수원시 권선구 권선동 1027-18,37.25802529,127.0288957,0507-1381-6377,15:00,3:00,15:00,3:00,15:00,3:00,15:00,3:00,경기도 수원시,031-228-6429,2021-03-11
52,양촌리닭계장,1,경기도,수원시,41115,경기도 수원시 권선구 호매실로 22-62,경기도 수원시 권선구 탑동 619-2,37.25932726,126.9716846,031-292-8252,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,경기도 수원시,031-228-6429,2021-03-11
53,일미리금계찜닭구운탑동점,1,경기도,수원시,41115,경기도 수원시 권선구 구운중로22번길 17,경기도 수원시 권선구 구운동 518-7,37.2767297,126.974842,031-294-1222,11:30,23:00,11:30,23:00,11:30,23:00,11:30,23:00,경기도 수원시,031-228-6429,2021-03-11
54,피자마루 입북점,1,경기도,수원시,41115,경기도 수원시 권선구 입북로 47,경기도 수원시 권선구 입북동 264-3,37.29588113,126.9588639,031-296-1082,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,경기도 수원시,031-228-6429,2021-03-11
55,한's돈까스,1,경기도,수원시,41115,경기도 수원시 권선구 구운로14번길 22,경기도 수원시 권선구 구운동 503-12,37.27791588,126.9763943,031-227-4193,11:30,21:00,11:30,21:00,11:30,21:00,0:00,0:00,경기도 수원시,031-228-6429,2021-03-11
56,지에스25 권선골드점,1,경기도,수원시,41115,경기도 수원시 권선구 세지로140번길 2,경기도 수원시 권선구 권선동 950,37.26391508,127.020559,031-223-7330,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,경기도 수원시,031-228-6429,2021-03-11
57,지에스25 권선아이파크점,1,경기도,수원시,41115,경기도 수원시 권선구 덕영대로1190번길 100,경기도 수원시 권선구 권선동 1337,37.24469781,127.0194358,031-223-9754,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,경기도 수원시,031-228-6429,2021-03-11
58,비에이치씨치킨,1,경기도,수원시,41115,경기도 수원시 권선구 권광로 55,경기도 수원시 권선구 권선동 1330-1,37.25497896,127.0257724,050-7715-8449,11:30,24:00:00,11:30,24:00:00,11:30,24:00:00,11:30,24:00:00,경기도 수원시,031-228-6429,2021-03-11
59,을찌로국물떡볶이,1,경기도,수원시,41115,경기도 수원시 권선구 동수원로146번길 307,경기도 수원시 권선구 곡반정동 529-6,37.24251407,127.0304153,031-222-5291,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,경기도 수원시,031-228-6429,2021-03-11
60,벌터,1,경기도,수원시,41115,경기도 수원시 권선구 수인로341번길 142,경기도 수원시 권선구 입북동 633-34,37.28350815,126.9604244,0507-1480-5859,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,경기도 수원시,031-228-6429,2021-03-11
61,강명수 아저씨네,1,경기도,수원시,41115,경기도 수원시 권선구 권중로56번길 21,경기도 수원시 권선구 권선동 1256,37.25279551,127.0301194,031-239-2258,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,경기도 수원시,031-228-6429,2021-03-11
62,쿡앤푸드,1,경기도,수원시,41115,경기도 수원시 권선구 오목천로152번길 40,경기도 수원시 권선구 고색동 958,37.24292335,126.9773535,031-227-6888,11:00,18:40,11:00,18:40,11:00,18:40,0:00,0:00,경기도 수원시,031-228-6429,2021-03-11
63,정옥집,1,경기도,수원시,41115,경기도 수원시 권선구 금곡로197번길 13,경기도 수원시 권선구 금곡동 1112-1,37.27413786,126.9514324,0507-1315-7992,11:00,24:00:00,11:00,24:00:00,11:00,24:00:00,0:00,0:00,경기도 수원시,031-228-6429,2021-03-11
64,찐참치정육점,1,경기도,수원시,41115,경기도 수원시 권선구 금곡로118번길 34-14,경기도 수원시 권선구 금곡동 1089-1,37.27279654,126.9424996,0507-1304-7906,14:00,24:00:00,14:00,24:00:00,14:00,24:00:00,14:00,24:00:00,경기도 수원시,031-228-6429,2021-03-11
65,쿠우쿠우 서수원점,1,경기도,수원시,41115,경기도 수원시 권선구 금곡로 206,경기도 수원시 권선구 금곡동 1117-1,37.27405081,126.9543349,031-294-3110,11:30,21:00,11:30,21:00,11:30,21:00,11:30,21:00,경기도 수원시,031-228-6429,2021-03-11
66,스시자카,1,경기도,수원시,41115,경기도 수원시 권선구 금호로 83-8,경기도 수원시 권선구 금곡동 1141,37.27204759,126.9592003,070-8777-2248,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,경기도 수원시,031-228-6429,2021-03-11
67,일품양평해장국 수원탑동점,1,경기도,수원시,41115,경기도 수원시 권선구 탑동로36번길 5-11,경기도 수원시 권선구 탑동 789-6,37.27268017,126.9745058,0507-1347-2007,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,경기도 수원시,031-228-6429,2021-03-11
68,삼포리수산,1,경기도,수원시,41115,경기도 수원시 권선구 금곡로197번길 59-29,경기도 수원시 권선구 금곡동 1105-9,37.2762777,126.953553,031-278-1253,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,경기도 수원시,031-228-6429,2021-03-11
69,놀부보쌈&흥부찜닭,1,경기도,수원시,41115,경기도 수원시 권선구 노림로 26-3,경기도 수원시 권선구 호매실동 396,37.26839726,126.9546571,050-4932-3388,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,경기도 수원시,031-228-6429,2021-03-11
70,나도람키친 호매실점,1,경기도,수원시,41115,경기도 수원시 권선구 호매실로218번길 22,경기도 수원시 권선구 호매실동 1380,37.26320212,126.9580836,031-291-9282,12:00,24:00:00,12:00,24:00:00,12:00,24:00:00,12:00,24:00:00,경기도 수원시,031-228-6429,2021-03-11
71,지에스25 고색대성점,1,경기도,수원시,41115,경기도 수원시 권선구 매송고색로711번길 10,경기도 수원시 권선구 고색동 890-130,37.25185954,126.9820263,031-292-5111,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,경기도 수원시,031-228-6429,2021-03-11
72,개성면가,1,경기도,수원시,41115,경기도 수원시 권선구 일월천로4번길 32,경기도 수원시 권선구 구운동 918-1,37.2821481,126.9740306,0507-1485-1245,11:30,21:00,11:30,21:00,11:30,21:00,11:30,21:00,경기도 수원시,031-228-6429,2021-03-11
73,이마트24 수원세류점,1,경기도,수원시,41115,경기도 수원시 권선구 권선로474번길 3,경기도 수원시 권선구 세류동 180-5,37.26377823,127.0034045,031-235-1635,6:00,1:00,6:00,1:00,6:00,1:00,6:00,1:00,경기도 수원시,031-228-6429,2021-03-11
74,고기듬뿍대왕비빔밥,1,경기도,수원시,41115,경기도 수원시 권선구 금곡로197번길 59-12,경기도 수원시 권선구 금곡동 1106-10,37.27609199,126.9531067,031-292-4323,10:30,21:00,10:30,21:00,10:30,21:00,10:30,21:00,경기도 수원시,031-228-6429,2021-03-11
75,7377,1,경기도,수원시,41115,경기도 수원시 권선구 서둔로 166,경기도 수원시 권선구 서둔동 103-25,37.26677627,126.9850182,0507-1331-3192,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,경기도 수원시,031-228-6429,2021-03-11
76,브라보치킨피자 수원호매실점,1,경기도,수원시,41115,경기도 수원시 권선구 금곡로197번길 18-24,경기도 수원시 권선구 금곡동 1113-3,37.27467515,126.9529839,070-7809-7666,11:00,1:00,11:00,1:00,11:00,1:00,11:00,1:00,경기도 수원시,031-228-6429,2021-03-11
77,이백장돈가스 탑동점,1,경기도,수원시,41115,경기도 수원시 권선구 하탑로 52,경기도 수원시 권선구 탑동 885-2,37.26909272,126.9774,031-292-0203,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,경기도 수원시,031-228-6429,2021-03-11
78,수원축산농협 하나로마트 곡반정점,1,경기도,수원시,41115,경기도 수원시 권선구 곡반정로 121,경기도 수원시 권선구 곡반정동 555,37.23893156,127.0308933,031-210-1900,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,경기도 수원시,031-228-6429,2021-03-11
79,다랑참치,1,경기도,수원시,41115,경기도 수원시 권선구 곡반정로97번길 22,경기도 수원시 권선구 곡반정동 571-7,37.2375458,127.0292832,031-231-2244,16:30,24:00:00,16:30,24:00:00,16:30,24:00:00,16:30,24:00:00,경기도 수원시,031-228-6429,2021-03-11
80,어린양양꼬치,1,경기도,수원시,41115,경기도 수원시 권선구 금곡로118번길 34-10,경기도 수원시 권선구 금곡동 1089-2,37.27276964,126.9427713,031-298-4830,14:00,1:00,14:00,1:00,14:00,1:00,14:00,1:00,경기도 수원시,031-228-6429,2021-03-11
81,쭈꾸미갤러리,1,경기도,수원시,41115,경기도 수원시 권선구 금곡로102번길 49-24,경기도 수원시 권선구 금곡동 1089,37.27279459,126.9422104,0507-1363-4947,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,경기도 수원시,031-228-6429,2021-03-11
82,GS25 세류빌리지,1,경기도,수원시,41115,경기도 수원시 권선구 정조로526번길 19,경기도 수원시 권선구 세류동 535-9,37.25612506,127.0125213,031-222-8987,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,경기도 수원시,031-228-6429,2021-03-11
83,지에스(GS)25 서둔햇살점,1,경기도,수원시,41115,경기도 수원시 권선구 세화로190번길 13,경기도 수원시 권선구 서둔동 17-160,37.26898005,126.9946125,031-291-0533,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,경기도 수원시,031-228-6429,2021-03-11
84,하이난,1,경기도,수원시,41115,경기도 수원시 권선구 세권로195번길 10-1,경기도 수원시 권선구 권선동 1048-16,37.25583995,127.0259668,031-222-3488,10:30,21:00,10:30,21:00,10:30,21:00,10:30,21:00,경기도 수원시,031-228-6429,2021-03-11
85,이마트24 수원청광점,1,경기도,수원시,41115,경기도 수원시 권선구 경수대로 408,경기도 수원시 권선구 권선동 1010-1,37.26265204,127.025445,031-238-8202,6:00,1:00,6:00,1:00,6:00,1:00,6:00,1:00,경기도 수원시,031-228-6429,2021-03-11
86,호식이두마리치킨오목천점,1,경기도,수원시,41115,경기도 수원시 권선구 서수원로183번길 3,경기도 수원시 권선구 오목천동 227-2,37.24320262,126.9688047,031-292-9240,12:00,23:59,12:00,23:59,12:00,23:59,12:00,23:59,경기도 수원시,031-228-6429,2021-03-11
87,와플대학 수원호매실캠퍼스,1,경기도,수원시,41115,경기도 수원시 권선구 금곡로102번길 48,경기도 수원시 권선구 금곡동 1083-2,37.27203434,126.9413881,031-296-5173,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,경기도 수원시,031-228-6429,2021-03-11
88,와플칸,1,경기도,수원시,41115,경기도 수원시 권선구 호매실로218번길 111,경기도 수원시 권선구 호매실동 1371,37.26552551,126.9582106,031-227-0007,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,경기도 수원시,031-228-6429,2021-03-11
89,최고당돈가스,1,경기도,수원시,41115,경기도 수원시 권선구 곡선로50번길 13-6,경기도 수원시 권선구 곡반정동 568-2,37.23794132,127.0298009,0507-1356-7912,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,경기도 수원시,031-228-6429,2021-03-11
90,처갓집양념치킨 곡반정점,1,경기도,수원시,41115,경기도 수원시 권선구 곡선로50번길 22-22,경기도 수원시 권선구 곡반정동 569-16,37.23831196,127.0282042,031-222-9799,14:00,2:00,14:00,2:00,14:00,2:00,14:00,2:00,경기도 수원시,031-228-6429,2021-03-11
91,대박고깃집 권중점,1,경기도,수원시,41115,경기도 수원시 권선구 권중로56번길 37,경기도 수원시 권선구 권선동 1255-1,37.25301971,127.0293174,031-226-1331,12:00,22:00,12:00,22:00,12:00,22:00,0:00,0:00,경기도 수원시,031-228-6429,2021-03-11
92,애슐리 W NC수원터미널,1,경기도,수원시,41115,경기도 수원시 권선구 경수대로 270,경기도 수원시 권선구 권선동 1189,37.25018811,127.0207006,031-8065-3875,11:00,21:00,11:00,21:00,11:00,21:00,0:00,0:00,경기도 수원시,031-228-6429,2021-03-11
93,BBQ치킨 수원권선인계점,1,경기도,수원시,41115,경기도 수원시 권선구 권선로639번길 19,경기도 수원시 권선구 권선동 955-12,37.26169165,127.0216248,031-222-3318,12:00,3:00,12:00,3:00,12:00,3:00,12:00,3:00,경기도 수원시,031-228-6429,2021-03-11
94,씨유(CU)세류2동점,1,경기도,수원시,41115,경기도 수원시 권선구 세지로 12,경기도 수원시 권선구 세류동 1112,37.2532044,127.0149994,031-224-9673,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,경기도 수원시,031-228-6429,2021-03-11
95,비에이치씨(bhc)수원능실점,1,경기도,수원시,41115,경기도 수원시 권선구 호매실로90번길 116,경기도 수원시 권선구 호매실동 1395-3,37.26010366,126.9627841,031-293-3324,12:00,24:00:00,12:00,24:00:00,12:00,24:00:00,12:00,24:00:00,경기도 수원시,031-228-6429,2021-03-11
96,수원축산농협 한우프라자,1,경기도,수원시,41115,경기도 수원시 권선구 곡반정로 121,경기도 수원시 권선구 곡반정동 555,37.23893156,127.0308933,031-233-8253,11:30,21:00,11:30,21:00,11:30,21:00,11:30,21:00,경기도 수원시,031-228-6429,2021-03-11
